JobID,Title,PostDate,PositionsOpen,DepartmentID,JobType,Status,Level,HiringBudget,Location,RequiredExperience,PositionsHired
1,"Nurse, children's",2023-06-28,2,1,Full-Time,Completed,Mid,21194692,Oliverport,1,2
2,"Doctor, hospital",2022-09-27,2,1,Part-Time,Suspended,Mid,23424958,Port Robert,10,1
3,Chartered certified accountant,2022-11-03,1,8,Intern,Cancelled,Senior,2580109,New Alan,5,1
4,"Therapist, occupational",2023-12-17,7,2,Intern,Suspended,Senior,19158965,Hayleyville,4,3
5,Health and safety adviser,2023-10-06,2,8,Full-Time,Open,Senior,28350252,South Briana,10,1
6,Broadcast journalist,2023-04-21,5,4,Intern,Open,Mid,13125180,Lopezport,4,5
7,Physiotherapist,2022-06-05,1,7,Part-Time,Open,Mid,14723243,Paulshire,1,1
8,"Therapist, nutritional",2023-10-14,2,2,Full-Time,Completed,Mid,27446180,Andrewside,3,1
9,Retail merchandiser,2022-01-05,5,4,Part-Time,Cancelled,Entry,54528600,South Stephanietown,4,5
10,Sport and exercise psychologist,2023-02-24,3,3,Full-Time,Suspended,Senior,39459879,East Jeremiahmouth,1,3
11,Systems analyst,2023-08-08,7,3,Full-Time,Suspended,Entry,90340579,West Bradley,9,1
12,Probation officer,2023-03-17,7,7,Part-Time,Cancelled,Senior,104389432,Wesleyton,4,7
13,Education administrator,2022-01-15,3,8,Part-Time,Open,Mid,31061367,Ryanchester,4,3
14,Amenity horticulturist,2022-06-25,5,9,Intern,Completed,Mid,10464800,Port Kathleenhaven,10,5
15,"Development worker, community",2022-02-07,2,6,Intern,Cancelled,Entry,4036454,Gailville,6,2
16,"Designer, blown glass/stained glass",2023-06-13,6,2,Part-Time,Open,Senior,70919496,Rickychester,0,6
17,"Conservator, museum/gallery",2022-03-28,3,10,Full-Time,Suspended,Entry,44507649,Blakeland,6,3
18,"Surveyor, building",2023-05-24,2,10,Part-Time,Open,Entry,21028764,Wallschester,4,2
19,Aeronautical engineer,2022-11-18,4,3,Full-Time,Cancelled,Mid,53236944,Garrettport,1,2
20,Acupuncturist,2023-09-21,3,4,Part-Time,Suspended,Mid,32501763,East Trevorton,9,1
21,"Designer, textile",2023-01-05,1,1,Full-Time,Cancelled,Mid,12482677,West Jacob,4,1
22,Academic librarian,2023-08-18,5,3,Intern,Suspended,Senior,13132395,Lake Johnton,10,1
23,Production manager,2022-07-06,5,9,Part-Time,Completed,Senior,58971600,Michaelburgh,2,1
24,Press photographer,2022-09-20,1,5,Part-Time,Suspended,Mid,12034664,Andrewfurt,2,1
25,"Nurse, learning disability",2022-06-13,3,2,Full-Time,Completed,Senior,31548459,Port Brittanyfurt,3,3
26,Risk analyst,2022-09-13,5,1,Intern,Suspended,Senior,14532575,Aarontown,8,1
27,Maintenance engineer,2023-04-10,4,4,Part-Time,Suspended,Senior,59510964,Jonesfurt,0,4
